State,Year,Month,Date,Revenue
Arkansas,2019,January,2019-01-01,
Arkansas,2019,February,2019-02-01,
Arkansas,2019,March,2019-03-01,
Arkansas,2019,April,2019-04-01,34592514.0
Arkansas,2019,May,2019-05-01,36302207.0
Arkansas,2019,June,2019-06-01,34142298.0
Arkansas,2019,July,2019-07-01,35055827.0
Arkansas,2019,August,2019-08-01,35375441.0
Arkansas,2019,September,2019-09-01,33257465.0
Arkansas,2019,October,2019-10-01,36708747.0
Arkansas,2019,November,2019-11-01,38070358.0
Arkansas,2019,December,2019-12-01,38914621.0
Arkansas,2019,YTD Total,,322419477.0
Arkansas,2020,January,2020-01-01,26363166.0
Arkansas,2020,February,2020-02-01,29478621.0
Arkansas,2020,March,2020-03-01,16726450.0
Arkansas,2020,April,2020-04-01,
Arkansas,2020,May,2020-05-01,8250713.0
Arkansas,2020,June,2020-06-01,17958045.0
Arkansas,2020,July,2020-07-01,23675009.0
Arkansas,2020,August,2020-08-01,23190355.0
Arkansas,2020,September,2020-09-01,23404168.0
Arkansas,2020,October,2020-10-01,26216195.0
Arkansas,2020,November,2020-11-01,25042122.0
Arkansas,2020,December,2020-12-01,35500360.0
Arkansas,2020,YTD Total,,258005203.0
Arkansas,2021,January,2021-01-01,42722750.0
Arkansas,2021,February,2021-02-01,29680787.0
Arkansas,2021,March,2021-03-01,57895429.0
Arkansas,2021,April,2021-04-01,60307376.0
Arkansas,2021,May,2021-05-01,48917118.0
Arkansas,2021,June,2021-06-01,42841374.0
Arkansas,2021,July,2021-07-01,47391817.0
Arkansas,2021,August,2021-08-01,44289681.0
Arkansas,2021,September,2021-09-01,25503405.0
Arkansas,2021,October,2021-10-01,48938097.0
Arkansas,2021,November,2021-11-01,45087171.0
Arkansas,2021,December,2021-12-01,49821369.0
Arkansas,2021,YTD Total,,543396375.0
Arkansas,2022,January,2022-01-01,44574619.0
Arkansas,2022,February,2022-02-01,45897429.0
Arkansas,2022,March,2022-03-01,56885025.0
Arkansas,2022,April,2022-04-01,54812162.0
Arkansas,2022,May,2022-05-01,51719079.0
Arkansas,2022,June,2022-06-01,46535224.0
Arkansas,2022,July,2022-07-01,54248053.0
Arkansas,2022,August,2022-08-01,50044558.0
Arkansas,2022,September,2022-09-01,52580115.0
Arkansas,2022,October,2022-10-01,51989656.0
Arkansas,2022,November,2022-11-01,48547633.0
Arkansas,2022,December,2022-12-01,55581697.0
Arkansas,2022,YTD Total,,613415249.0
Arkansas,2023,January,2023-01-01,54598508.0
Arkansas,2023,February,2023-02-01,56598164.0
Arkansas,2023,March,2023-03-01,65850035.0
